wave_v473,blocker_id_v473,evidence_count_v473,required_next_artifact_v473,claim_boundary_v473
v467,proxy_gap_persists_on_local_frontier,77,paper4_v472_ifrs9_proxy_boundary_probe.md,v353 keeps missing proxy rows
v467,full_v55_global_proof_missing,27,future_full_v55_dual_bound_or_scope_decision,remaining chunks are unpriced
v467,v71_improving_omitted_columns_persist,5738,future_dual_bound_gap_resolution,prior restricted-master gap remains a blocker
v467,external_dynamic_online_validation_missing,1,paper4_v469_to_v470_domain_replay_sequence,CVaR frontier evidence is offline/internal
v467,paper4_final_promotion_forbidden,1,paper4_final_promotion_gate_not_created,Paper Estrella replacement and final Paper 4 remain prohibited
v468,grade_a_primary_source_blocker,0,future_grade_a_source_counterfactual,grade=A pass rows remain zero
v468,source_cap_relaxation_not_authorized,1,future_source_cap_approval_or_counterfactual,no source cap change authorized
v468,blind_chunking_stop_rule_active,8,future_targeted_source_aware_pricing,sampled chunks produced zero source-exact rows
v468,global_solver_claims_still_blocked,1,future_full_v55_certificate_pack,source refresh is not a solver certificate
v468,paper4_final_promotion_forbidden,1,paper4_final_promotion_gate_not_created,Paper Estrella replacement and final Paper 4 remain prohibited
v469,v353_dynamic_proxy_trace_missing,1,future_v353_dynamic_replay_build,current local frontier lacks dynamic replay
v469,dynamic_proxy_not_live_deployment_replay,1536,future_live_deployment_replay_gate,periodized static-book proxy only
v469,valid_global_gap_certificate_missing,1,future_branch_price_dual_bound_loop,dynamic proxy does not replace solver proof
v469,online_monitoring_proxy_not_refreshed,1,paper4_v470_online_conformal_monitoring_proxy.md,online lane still pending
v469,paper4_final_promotion_forbidden,1,paper4_final_promotion_gate_not_created,Paper Estrella replacement and final Paper 4 remain prohibited
v470,v353_online_temporal_gate_missing,1,future_v353_online_temporal_gate,current local frontier lacks online replay
v470,external_holdout_missing,1,future_external_online_holdout,internal replay is not external validation
v470,production_monitoring_not_authorized,1,future_production_monitoring_design,no production monitoring control is approved
v470,spo_dla_boundary_not_refreshed,1,paper4_v471_spo_dla_boundary_probe.md,formal method-boundary lane still pending
v470,paper4_final_promotion_forbidden,1,paper4_final_promotion_gate_not_created,Paper Estrella replacement and final Paper 4 remain prohibited
v471,formal_review_not_approved,2,approved_formal_spo_dla_review,"v375 records historical audit rows, not approval"
v471,differentiable_spo_dependencies_blocked,3,approved_dependency_and_theorem_route,cvxpy/cvxpylayers/torch route is blocked
v471,formal_theorem_or_proof_missing,1,formal_theorem_or_review_packet_approval,review packet is not a theorem
v471,external_live_legal_global_gates_blocked,4,external_gate_approval_and_full_v55_certificate,live/legal/IFRS9/global gates remain unmet
v471,paper4_final_promotion_forbidden,1,paper4_final_promotion_gate_not_created,Paper Estrella replacement and final Paper 4 remain prohibited
v471,ifrs9_proxy_boundary_not_refreshed,1,paper4_v472_ifrs9_proxy_boundary_probe.md,IFRS9 proxy lane remains pending
v472,contractual_ifrs9_requirements_missing,5,future_contractual_servicing_panel,five contractual requirements remain missing
v472,v338_proxy_uses_imputation,74,future_observed_proxy_coverage_repair,v338 proxy panel includes explicit imputed rows
v472,v353_ifrs9_proxy_gate_missing,1,future_v353_cashflow_proxy_gate,current local frontier lacks cashflow proxy gate
v472,production_accounting_validation_missing,1,future_accounting_review_and_validation,no accounting review or contractual validation
v472,paper4_final_promotion_forbidden,1,paper4_final_promotion_gate_not_created,Paper Estrella replacement and final Paper 4 remain prohibited
