source_family,source_id,cap_share_v302,source_exposure_v302,source_share_v302,source_slack_v302,source_cap_violated_v302,claim_boundary_v302
grade,A,0.8531348749298603,718825.0,0.8531034892000949,3.138572976535414e-05,False,v302 greedy frontier final source diagnostic only; no global proof
grade,B,0.8531348749298603,35350.0,0.04195347733206741,0.8111813975977928,False,v302 greedy frontier final source diagnostic only; no global proof
grade,C,0.8531348749298603,27000.0,0.03204367434132447,0.8210912005885358,False,v302 greedy frontier final source diagnostic only; no global proof
grade,D,0.8531348749298603,52925.0,0.06281153572276288,0.7903233392070974,False,v302 greedy frontier final source diagnostic only; no global proof
grade,E,0.8531348749298603,7500.0,0.00890102065036791,0.8442338542794924,False,v302 greedy frontier final source diagnostic only; no global proof
grade,F,0.8531348749298603,1000.0,0.0011868027533823878,0.8519480721764779,False,v302 greedy frontier final source diagnostic only; no global proof
grade,G,0.8531348749298603,0.0,0.0,0.8531348749298603,False,v302 greedy frontier final source diagnostic only; no global proof
score_decile,0,0.9,758300.0,0.8999525278898647,4.747211013533814e-05,False,v302 greedy frontier final source diagnostic only; no global proof
score_decile,1,0.9,50900.0,0.060408260147163544,0.8395917398528365,False,v302 greedy frontier final source diagnostic only; no global proof
score_decile,2,0.9,22800.0,0.027059102777118444,0.8729408972228816,False,v302 greedy frontier final source diagnostic only; no global proof
score_decile,3,0.9,10600.0,0.012580109185853311,0.8874198908141467,False,v302 greedy frontier final source diagnostic only; no global proof
score_decile,4,0.9,0.0,0.0,0.9,False,v302 greedy frontier final source diagnostic only; no global proof
score_decile,5,0.9,0.0,0.0,0.9,False,v302 greedy frontier final source diagnostic only; no global proof
score_decile,6,0.9,0.0,0.0,0.9,False,v302 greedy frontier final source diagnostic only; no global proof
score_decile,7,0.9,0.0,0.0,0.9,False,v302 greedy frontier final source diagnostic only; no global proof
score_decile,8,0.9,0.0,0.0,0.9,False,v302 greedy frontier final source diagnostic only; no global proof
score_decile,9,0.9,0.0,0.0,0.9,False,v302 greedy frontier final source diagnostic only; no global proof
income_band,0,0.85,5400.0,0.006408734868264894,0.8435912651317351,False,v302 greedy frontier final source diagnostic only; no global proof
income_band,1,0.85,27325.0,0.032429385236173745,0.8175706147638262,False,v302 greedy frontier final source diagnostic only; no global proof
income_band,2,0.85,55250.0,0.06557085212437692,0.784429147875623,False,v302 greedy frontier final source diagnostic only; no global proof
income_band,3,0.85,116300.0,0.13802516021837172,0.7119748397816282,False,v302 greedy frontier final source diagnostic only; no global proof
income_band,4,0.85,638325.0,0.7575658675528127,0.09243413244718723,False,v302 greedy frontier final source diagnostic only; no global proof
dti_band,0,0.85,588425.0,0.6983444101590316,0.15165558984096839,False,v302 greedy frontier final source diagnostic only; no global proof
dti_band,1,0.85,205875.0,0.2443330168525991,0.6056669831474009,False,v302 greedy frontier final source diagnostic only; no global proof
dti_band,2,0.85,31500.0,0.037384286731545216,0.8126157132684547,False,v302 greedy frontier final source diagnostic only; no global proof
dti_band,3,0.85,11600.0,0.0137669119392357,0.8362330880607642,False,v302 greedy frontier final source diagnostic only; no global proof
dti_band,4,0.85,5200.0,0.006171374317588417,0.8438286256824116,False,v302 greedy frontier final source diagnostic only; no global proof
period,2018,0.82,498750.0,0.591917873249466,0.22808212675053396,False,v302 greedy frontier final source diagnostic only; no global proof
period,2019,0.82,304925.0,0.3618858295751246,0.45811417042487534,False,v302 greedy frontier final source diagnostic only; no global proof
period,2020,0.82,38925.0,0.04619629717540945,0.7738037028245905,False,v302 greedy frontier final source diagnostic only; no global proof
